,date,cash_data,vol,dif,ret1,ret2,ret3
9/15/2021 2:30,9/15/2021 2:30,34648.2,918,38,-5.425044791,-1.399644876,-1.657641801
9/15/2021 3:00,9/15/2021 3:00,34684.34,1655,36.14,-0.950035624,5.153985816,10.57903061
9/15/2021 3:30,9/15/2021 3:30,34626.34,1655,-58,1.605376342,-1.525164715,-0.575129091
9/15/2021 4:00,9/15/2021 4:00,34663.7,2166,37.36,0.644329718,1.034391685,-0.570984657
9/15/2021 4:30,9/15/2021 4:30,34613.7,2166,-50,1.338574052,0.862483041,0.218153323
9/15/2021 5:00,9/15/2021 5:00,34582.2,2207,-31.5,-0.630741958,-0.844294818,-2.18286887
9/15/2021 5:30,9/15/2021 5:30,34652.2,2207,70,2.220987088,-1.400869744,-0.770127786
9/15/2021 6:00,9/15/2021 6:00,34629.2,1331,-23,0.328348428,0.72925762,-1.491729468
9/15/2021 6:30,9/15/2021 6:30,34666.7,1331,37.5,1.630093717,0.53523871,0.206890282
9/15/2021 7:00,9/15/2021 7:00,34653.2,971,-13.5,0.35987533,0.586630514,-1.043463203
9/15/2021 7:30,9/15/2021 7:30,34689.2,971,36,2.665801601,0.959356231,0.599480901
9/15/2021 8:00,9/15/2021 8:00,34684.2,2149,-5,0.138826813,0.370084741,-2.29571686
9/15/2021 8:30,9/15/2021 8:30,34624.2,2149,-60,-12.01125703,-1.667484535,-1.806311348
9/15/2021 9:00,9/15/2021 9:00,34605.2,2736,-19,-0.317027954,3.807904245,15.81916127
9/15/2021 9:30,9/15/2021 9:30,34659.34,2736,54.14,2.848028568,-0.902904671,-0.585876717
9/15/2021 10:00,9/15/2021 10:00,34677.24,3840,17.9,-0.330280732,-0.940648961,-3.788677529
9/15/2021 10:30,9/15/2021 10:30,34614.2,3840,-63.04,3.524082877,-1.163936673,-0.833655941
9/15/2021 11:00,9/15/2021 11:00,34631.2,2071,17,0.26984928,0.950971228,-2.573111648
9/15/2021 11:30,9/15/2021 11:30,34689.2,2071,58,-3.408074133,-0.919666352,-1.189515633
9/15/2021 12:00,9/15/2021 12:00,34648.2,1510,-41,0.706723154,-2.4085649,0.999509234
9/15/2021 12:30,9/15/2021 12:30,34693.2,1510,45,1.097497688,0.775627028,0.068903874
9/15/2021 13:00,9/15/2021 13:00,34690.7,1672,-2.5,0.055521518,0.060934738,-1.036562951
9/15/2021 13:30,9/15/2021 13:30,34603.2,1672,-87.5,-35.04547716,-1.945778095,-2.001299613
9/15/2021 14:00,9/15/2021 14:00,34622.34,2507,19.14,0.218958754,-7.67351402,27.37196314
9/15/2021 14:30,9/15/2021 14:30,34559.7,2507,-62.64,3.274785896,0.71704304,0.498084286
9/15/2021 15:00,9/15/2021 15:00,34516.2,3525,-43.5,-0.695511409,-2.277650954,-5.55243685
9/15/2021 15:30,9/15/2021 15:30,34619.2,3525,103,2.365779716,-1.645426784,-0.949915375
9/15/2021 16:00,9/15/2021 16:00,34529.7,8478,-89.5,0.868762239,2.055300083,-0.310479633
9/15/2021 16:30,9/15/2021 16:30,34732.2,8478,202.5,2.25888365,1.962432817,1.093670579
9/15/2021 17:00,9/15/2021 17:00,34733.7,10256,1.5,-0.007385633,-0.016683286,-2.275566936
9/15/2021 17:30,9/15/2021 17:30,34592.7,10256,-141,94.18927858,-0.695647452,-0.688261819
9/15/2021 18:00,9/15/2021 18:00,34650.2,6283,57.5,0.408292717,38.45679646,-55.73248212
9/15/2021 18:30,9/15/2021 18:30,34718.2,6283,68,-1.180469249,-0.481976997,-0.890269714
9/15/2021 19:00,9/15/2021 19:00,34679.34,4673,-38.86,0.571230505,-0.674320045,0.506149204
9/15/2021 19:30,9/15/2021 19:30,34808.7,4673,129.36,3.324540905,1.899079179,1.327848674
9/15/2021 20:00,9/15/2021 20:00,34788.7,4501,-20,0.154364185,0.513190048,-2.811350856
9/15/2021 20:30,9/15/2021 20:30,34898.7,4501,110,5.492901262,0.847907229,0.693543043
9/15/2021 21:00,9/15/2021 21:00,34796.2,4982,-102.5,0.931717805,5.117833907,-0.375067355
9/15/2021 21:30,9/15/2021 21:30,34853.2,4982,57,0.556460567,0.518464218,-0.413253587
9/15/2021 22:00,9/15/2021 22:00,34796.2,6049,-57,1,0.556460567,0
9/15/2021 22:30,9/15/2021 22:30,34884.7,6049,88.5,1.551930183,1.551930183,0.551930183
9/15/2021 23:00,9/15/2021 23:00,34821.7,756,-63,0.711603804,1.104359421,-0.447570762
9/15/2021 23:30,9/15/2021 23:30,34877.34,756,55.64,0.883267811,0.628536734,-0.08306707
9/16/2021 1:00,9/16/2021 1:00,34856.04,261,-21.3,0.382629529,0.337964347,-0.545303464
9/16/2021 1:30,9/16/2021 1:30,34874.34,261,18.3,0.859191886,0.328752187,-0.053877342
9/16/2021 2:00,9/16/2021 2:00,34870.2,573,-4.14,0.226183573,0.19433509,-0.664856796
9/16/2021 2:30,9/16/2021 2:30,34846.34,573,-23.86,-5.76559993,-1.304083991,-1.530267563
9/16/2021 3:00,9/16/2021 3:00,34840.2,1476,-6.14,-0.257445224,1.484326165,7.249926094
9/16/2021 3:30,9/16/2021 3:30,34865.2,1476,25,4.070559744,-1.047946164,-0.790500941
9/16/2021 4:00,9/16/2021 4:00,34873.34,2309,8.14,-0.325445261,-1.324744379,-5.395304123
9/16/2021 4:30,9/16/2021 4:30,34815.2,2309,-58.14,7.14763236,-2.326163081,-2.000717819
9/16/2021 5:00,9/16/2021 5:00,34805.2,1885,-10,-0.172166927,-1.230585895,-8.378218255
9/16/2021 5:30,9/16/2021 5:30,34846.2,1885,41,4.098175643,-0.705570305,-0.533403378
9/16/2021 6:00,9/16/2021 6:00,34849.34,1428,3.14,-0.076536854,-0.313661469,-4.411837112
9/16/2021 6:30,9/16/2021 6:30,34797.2,1428,-52.14,16.61678119,-1.271796149,-1.195259295
9/16/2021 7:00,9/16/2021 7:00,34798.24,783,1.04,0.01996094,0.331686575,-16.28509462
9/16/2021 7:30,9/16/2021 7:30,34826.34,783,28.1,-27.00792387,-0.539103552,-0.559064492
9/16/2021 8:00,9/16/2021 8:00,34829.34,1340,3,-0.106713893,2.882120698,29.89004456
9/16/2021 8:30,9/16/2021 8:30,34783.7,1340,-45.64,15.22265411,-1.624468682,-1.517754789
9/16/2021 9:00,9/16/2021 9:00,34840.2,1402,56.5,1.237756165,18.84193398,3.619279867
9/16/2021 9:30,9/16/2021 9:30,34799.34,1402,-40.86,0.723023348,0.894926607,-0.342829558
9/16/2021 10:00,9/16/2021 10:00,34857.2,3334,57.86,1.41570939,1.023590943,0.300567595
9/16/2021 10:30,9/16/2021 10:30,34799.2,3334,-58,1.002421649,1.419137742,0.003428352
9/16/2021 11:00,9/16/2021 11:00,34815.34,2307,16.14,0.278443133,0.279117425,-0.723304225
9/16/2021 11:30,9/16/2021 11:30,34854.2,2307,38.86,-2.405782258,-0.66987355,-0.948316683
9/16/2021 12:00,9/16/2021 12:00,34836.2,1574,-18,0.46306255,-1.114027668,1.29175459
9/16/2021 12:30,9/16/2021 12:30,34786.2,1574,-50,-2.780491242,-1.287541365,-1.750603916
9/16/2021 13:00,9/16/2021 13:00,34794.7,1323,8.5,0.170101364,-0.472965354,2.307525888
9/16/2021 13:30,9/16/2021 13:30,34818.7,1323,24,-2.822211305,-0.480061994,-0.650163358
9/16/2021 14:00,9/16/2021 14:00,34839.7,1725,21,-0.874434733,2.46783959,5.290050895
9/16/2021 14:30,9/16/2021 14:30,34786.7,1725,-53,2.524969867,-2.207921353,-1.333486619
9/16/2021 15:00,9/16/2021 15:00,34752.2,4026,-34.5,-0.651762398,-1.645680417,-4.170650284
9/16/2021 15:30,9/16/2021 15:30,34877.2,4026,125,3.618482799,-2.358391028,-1.70662863
9/16/2021 16:00,9/16/2021 16:00,34961.7,8371,84.5,-0.673971766,-2.438755244,-6.057238044
9/16/2021 16:30,9/16/2021 16:30,34721.2,8371,-240.5,2.852535502,-1.922528391,-1.248556624
9/16/2021 17:00,9/16/2021 17:00,34747.34,9827,26.14,0.109025188,0.310998219,-2.541537283
9/16/2021 17:30,9/16/2021 17:30,34551.2,9827,-196.14,7.521869832,0.820073271,0.711048083
9/16/2021 18:00,9/16/2021 18:00,34559.7,7293,8.5,0.043453937,0.32685486,-7.195014972
9/16/2021 18:30,9/16/2021 18:30,34654.2,7293,94.5,-11.10110928,-0.482386907,-0.525840844
9/16/2021 19:00,9/16/2021 19:00,34623.7,4886,-30.5,0.322452981,-3.579585775,7.521523506
9/16/2021 19:30,9/16/2021 19:30,34737.7,4886,114,3.733208441,1.203784189,0.881331208
9/16/2021 20:00,9/16/2021 20:00,34645.7,5133,-92,0.806761402,3.011808476,-0.721399965
9/16/2021 20:30,9/16/2021 20:30,34738.2,5133,92.5,1.005427544,0.811140135,0.004378733
9/16/2021 21:00,9/16/2021 21:00,34717.34,4929,-20.86,0.225280781,0.226503502,-0.778924042
9/16/2021 21:30,9/16/2021 21:30,34803.2,4929,85.86,4.112165103,0.926391764,0.701110984
9/16/2021 22:00,9/16/2021 22:00,34859.2,6055,56,-0.650896176,-2.676592539,-6.788757641
