,date,cash_data,vol,dif,ret1,ret2,ret3
10/12/2021 9:00,10/12/2021 9:00,1762.33,4557,0.33,-0.073724916,0.304658213,4.437022517
10/12/2021 9:30,10/12/2021 9:30,1760.26,4557,-2.07,6.27582642,-0.462684779,-0.388959862
10/12/2021 10:00,10/12/2021 10:00,1762.48,2926,2.22,1.072418121,6.730309975,0.454483555
10/12/2021 10:30,10/12/2021 10:30,1756.59,2926,-5.89,2.655922226,2.848259122,1.775841002
10/12/2021 11:00,10/12/2021 11:00,1758.21,2375,1.62,0.275376346,0.731378158,-1.924544068
10/12/2021 11:30,10/12/2021 11:30,1756.37,2375,-1.84,1.13587359,0.312792719,0.037416373
10/12/2021 12:00,10/12/2021 12:00,1757.39,1928,1.02,0.554477158,0.62981596,-0.50605763
10/12/2021 12:30,10/12/2021 12:30,1761.34,1928,3.95,-3.867080787,-2.144207965,-2.698685123
10/12/2021 13:00,10/12/2021 13:00,1758.5,1925,-2.84,0.718760459,-2.779504763,1.087576024
10/12/2021 13:30,10/12/2021 13:30,1763.23,1925,4.73,1.664599781,1.196448503,0.477688044
10/12/2021 14:00,10/12/2021 14:00,1764.9,2769,1.67,-0.352424895,-0.586646404,-2.251246184
10/12/2021 14:30,10/12/2021 14:30,1760.69,2769,-4.21,2.522775311,-0.889088825,-0.53666393
10/12/2021 15:00,10/12/2021 15:00,1763.32,7132,2.63,0.624982994,1.576691668,-0.946083643
10/12/2021 15:30,10/12/2021 15:30,1753.8,7132,-9.52,3.626871141,2.266732786,1.641749791
10/12/2021 16:00,10/12/2021 16:00,1756.78,9266,2.98,0.313607667,1.137414596,-2.489456545
10/12/2021 16:30,10/12/2021 16:30,1768.56,9266,11.78,-3.936483216,-1.234511316,-1.548118983
10/12/2021 17:00,10/12/2021 17:00,1769.25,8141,0.69,-0.058367178,0.229761415,4.166244631
10/12/2021 17:30,10/12/2021 17:30,1761.95,8141,-7.3,10.59952911,-0.618664598,-0.56029742
10/12/2021 18:00,10/12/2021 18:00,1764.23,5447,2.28,0.312773008,3.315246602,-7.284282508
10/12/2021 18:30,10/12/2021 18:30,1759.82,5447,-4.41,1.935380339,0.60533473,0.292561722
10/12/2021 19:00,10/12/2021 19:00,1761.9,3862,2.08,0.471967188,0.913436017,-1.021944322
10/12/2021 19:30,10/12/2021 19:30,1759.95,3862,-1.95,0.937465381,0.4424529,-0.029514288
10/12/2021 20:00,10/12/2021 20:00,1761.31,4002,1.36,0.697552719,0.653931526,-0.283533856
10/12/2021 20:30,10/12/2021 20:30,1757.8,4002,-3.51,2.582459871,1.801401904,1.103849185
10/12/2021 21:00,10/12/2021 21:00,1759.9,2484,2.1,0.598530284,1.545680439,-1.036779431
10/12/2021 21:30,10/12/2021 21:30,1757.96,2484,-1.94,0.923767491,0.552902818,-0.045627465
10/12/2021 22:00,10/12/2021 22:00,1758.89,2164,0.93,0.479519079,0.442964136,-0.480803355
10/12/2021 22:30,10/12/2021 22:30,1761.79,2164,2.9,-3.114887956,-1.493648204,-1.973167282
10/12/2021 23:00,10/12/2021 23:00,1761.36,934,-0.43,0.148171876,-0.461538793,2.653349163
10/12/2021 23:30,10/12/2021 23:30,1759.99,934,-1.37,-3.18767526,-0.472323825,-0.620495701
10/13/2021 1:00,10/13/2021 1:00,1759.79,656,-0.2,-0.146050511,0.465561601,3.653236861
10/13/2021 1:30,10/13/2021 1:30,1760.7,656,0.91,4.549082468,-0.66439582,-0.518345309
10/13/2021 2:00,10/13/2021 2:00,1759.7,831,-1,1.098929198,4.999119547,0.450037079
10/13/2021 2:30,10/13/2021 2:30,1760.37,831,0.67,0.670062801,0.736351577,-0.362577621
10/13/2021 3:00,10/13/2021 3:00,1759.83,2734,-0.54,0.805940382,0.54003067,-0.130032132
10/13/2021 3:30,10/13/2021 3:30,1761.55,2734,1.72,3.184118071,2.566209333,1.760268952
10/13/2021 4:00,10/13/2021 4:00,1759.4,3165,-2.15,1.250152714,3.980633847,0.796515776
10/13/2021 4:30,10/13/2021 4:30,1762.86,3165,3.46,1.608704111,2.01112581,0.760973096
10/13/2021 5:00,10/13/2021 5:00,1762.67,3216,-0.19,0.054862344,0.088257278,-1.520446833
10/13/2021 5:30,10/13/2021 5:30,1760.39,3216,-2.28,-12.00841481,-0.658809784,-0.713672128
10/13/2021 6:00,10/13/2021 6:00,1760.07,2303,-0.32,-0.140454513,1.68663605,13.69505086
