,date,cash_data,vol,ret1
98,1/9/2020 8:00,7960,30375.417,0.750402546
99,1/9/2020 10:00,7851.91,30375.417,1.748487208
100,1/9/2020 12:00,7874.23,23428.299,0.20761771
101,1/9/2020 14:00,7948.11,23428.299,-3.289932489
102,1/9/2020 16:00,7776,39131.569,2.344218265
103,1/9/2020 18:00,7963,39131.569,1.085494263
104,1/9/2020 20:00,8006.83,44927.203,-0.230986905
105,1/9/2020 22:00,7750.01,44927.203,5.939172107
106,1/10/2020 0:00,7855,15931.436,0.41275492
107,1/10/2020 2:00,7767.22,15931.436,0.835154759
108,1/10/2020 4:00,7818.3,21979.642,0.583275519
109,1/10/2020 6:00,7718.05,21979.642,1.968839282
110,1/10/2020 8:00,7670,44313.519,-0.4839158
111,1/10/2020 10:00,7854.32,44313.519,3.802498656
112,1/10/2020 12:00,7808.32,58635.811,0.247351091
113,1/10/2020 14:00,8088,58635.811,5.991223453
114,1/10/2020 16:00,8145.41,75530.58,-0.200987926
115,1/10/2020 18:00,7912.95,75530.58,4.093528161
116,1/10/2020 20:00,7985.38,36600.617,0.314696998
117,1/10/2020 22:00,8210.62,36600.617,-3.052781837
118,1/11/2020 0:00,8131.93,30774.401,0.346208182
119,1/11/2020 2:00,8261.33,30774.401,1.639362099
120,1/11/2020 4:00,8187,26079.079,0.572489214
121,1/11/2020 6:00,8048,26079.079,-1.894644968
122,1/11/2020 8:00,8135.26,25109.842,0.629767561
123,1/11/2020 10:00,8012.29,25109.842,1.41236688
124,1/11/2020 12:00,8020,20200.68,0.063147756
125,1/11/2020 14:00,8120.06,20200.68,-12.89145883
126,1/11/2020 16:00,8070.56,25824.475,0.49315354
127,1/11/2020 18:00,8219.38,25824.475,2.988208013
128,1/11/2020 20:00,8292.19,35970.634,-0.482671413
129,1/11/2020 22:00,8003.87,35970.634,4.012656649
130,1/12/2020 0:00,7956.28,21485.1,-0.168516545
131,1/12/2020 2:00,8119.24,21485.1,3.399780195
132,1/12/2020 4:00,8072,12285.656,0.287806202
133,1/12/2020 6:00,8155,12285.656,1.75312399
134,1/12/2020 8:00,8088.3,14598.978,0.802805549
135,1/12/2020 10:00,8166.72,14598.978,1.174866957
136,1/12/2020 12:00,8117.2,16354.032,0.630347908
137,1/12/2020 14:00,8186,16354.032,1.387698585
138,1/12/2020 16:00,8070.13,29778.625,1.68905207
139,1/12/2020 18:00,8195,29778.625,1.077079865
140,1/12/2020 20:00,8088.82,13370.08,0.849343716
141,1/12/2020 22:00,8189,13370.08,0.943838494
142,1/13/2020 0:00,8200,13079.337,-0.109056116
143,1/13/2020 2:00,8090,13079.337,10.06092489
144,1/13/2020 4:00,8125.91,11654.99,0.327941658
145,1/13/2020 6:00,8053.78,11654.99,2.013139282
146,1/13/2020 8:00,8063.92,12181.028,0.141119273
147,1/13/2020 10:00,8135.93,12181.028,-7.065611166
148,1/13/2020 12:00,8055,11902.963,1.124492813
149,1/13/2020 14:00,8115.05,11902.963,0.742954612
150,1/13/2020 16:00,8072,10497.055,0.71614807
151,1/13/2020 18:00,8132,10497.055,1.392273411
152,1/13/2020 20:00,8165,13900.852,-0.546859634
153,1/13/2020 22:00,8096.98,13900.852,2.065660143
154,1/14/2020 0:00,8109.02,61253.86,0.17761719
155,1/14/2020 2:00,8485,61253.86,-30.50259131
156,1/14/2020 4:00,8598.27,33298.479,-0.292592232
157,1/14/2020 6:00,8467.74,33298.479,1.153550339
158,1/14/2020 8:00,8567.9,21212.929,0.768694998
159,1/14/2020 10:00,8476,21212.929,0.917085605
160,1/14/2020 12:00,8479.54,71366.252,0.038720495
161,1/14/2020 14:00,8770,71366.252,-80.66000124
162,1/14/2020 16:00,8520,74832.062,0.858668274
163,1/14/2020 18:00,8864.99,74832.062,1.372504554
164,1/14/2020 20:00,8678.01,26549.953,0.537054871
165,1/14/2020 22:00,8893,26549.953,1.147983033
166,1/15/2020 0:00,8710,42556.891,0.849643696
167,1/15/2020 2:00,8918.5,42556.891,1.137708242
168,1/15/2020 4:00,8745,38176.177,0.830473412
169,1/15/2020 6:00,8570.52,38176.177,-1.025860079
170,1/15/2020 8:00,8610.68,31977.721,0.231961649
171,1/15/2020 10:00,8811,31977.721,-4.919403186
172,1/15/2020 12:00,8727,59517.006,0.416532719
173,1/15/2020 14:00,8921.2,59517.006,2.29754379
174,1/15/2020 16:00,8680.42,35159.997,1.243164277
175,1/15/2020 18:00,8824.93,35159.997,0.603451134
176,1/15/2020 20:00,8742.78,27571.65,0.566446126
177,1/15/2020 22:00,8884.98,27571.65,1.725108076
178,1/16/2020 0:00,8868.21,41350.809,0.117096767
179,1/16/2020 2:00,8596.25,41350.809,-16.48648942
180,1/16/2020 4:00,8625,21099.347,0.107198474
181,1/16/2020 6:00,8734.88,21099.347,-3.791439678
182,1/16/2020 8:00,8607.05,28520.566,1.164569721
183,1/16/2020 10:00,8731,28520.566,0.969863138
184,1/16/2020 12:00,8793.77,34611.235,-0.501011829
185,1/16/2020 14:00,8650.01,34611.235,2.300941817
186,1/16/2020 16:00,8634,24027.468,-0.1123931
187,1/16/2020 18:00,8728.75,24027.468,5.891394032
188,1/16/2020 20:00,8764.95,17239.064,-0.379194909
189,1/16/2020 22:00,8675.24,17239.064,2.485798715
190,1/17/2020 0:00,8680,27504.952,0.053319107
191,1/17/2020 2:00,8843.49,27504.952,-34.0178491
192,1/17/2020 4:00,8765,47705.881,0.477762326
193,1/17/2020 6:00,9020,47705.881,3.21677721
194,1/17/2020 8:00,9039,41685.588,-0.073374303
195,1/17/2020 10:00,8900,41685.588,7.364871926
196,1/17/2020 12:00,8929.7,35518.091,0.2149748
197,1/17/2020 14:00,8785,35518.091,4.903786722
198,1/17/2020 16:00,8959.22,34191.073,1.202017149
199,1/17/2020 18:00,8816.14,34191.073,0.819813101
200,1/17/2020 20:00,8869.68,18222.273,0.376083766
201,1/17/2020 22:00,8968,18222.273,-1.820762946
202,1/18/2020 0:00,8858.38,19797.755,1.115640348
203,1/18/2020 2:00,8995,19797.755,1.244429213
204,1/18/2020 4:00,8931.11,21392.459,0.465743026
205,1/18/2020 6:00,8816,21392.459,-1.819880339
206,1/18/2020 8:00,8832,16546.765,0.139776159
207,1/18/2020 10:00,8922.12,16546.765,-5.59887995
208,1/18/2020 12:00,8968,22261.808,-0.505225597
209,1/18/2020 14:00,8877.99,22261.808,1.966720712
210,1/18/2020 16:00,8940,19430.095,0.690002993
