date,CashData
10/1/2020 1:00,1884.61
10/1/2020 1:00,1911.86
10/2/2020 1:00,1889.71
10/2/2020 1:00,1917.04
10/5/2020 1:00,1887
10/5/2020 1:00,1918.69
10/6/2020 1:00,1920.93
10/6/2020 1:00,1874.52
10/7/2020 1:00,1872.87
10/7/2020 1:00,1897.94
10/8/2020 1:00,1900.62
10/8/2020 1:00,1881.86
10/9/2020 1:00,1893.41
10/9/2020 1:00,1930.36
10/12/2020 1:00,1933.22
10/12/2020 1:00,1918.05
10/13/2020 1:00,1925.36
10/13/2020 1:00,1886.32
10/14/2020 1:00,1882.34
10/14/2020 1:00,1912.91
10/15/2020 1:00,1889.48
10/15/2020 1:00,1908.87
10/16/2020 1:00,1913.71
10/16/2020 1:00,1897.52
10/19/2020 1:00,1896.92
10/19/2020 1:00,1918.55
10/20/2020 1:00,1894.5
10/20/2020 1:00,1914.05
10/21/2020 1:00,1908.23
10/21/2020 1:00,1931.37
10/22/2020 1:00,1925.99
10/22/2020 1:00,1894.34
10/23/2020 1:00,1914.27
10/23/2020 1:00,1894.24
10/26/2020 0:00,1891.32
10/26/2020 0:00,1908.57
10/27/2020 0:00,1897.84
10/27/2020 0:00,1911.37
10/28/2020 0:00,1910.84
10/28/2020 0:00,1869.31
10/29/2020 0:00,1884.97
10/29/2020 0:00,1859.91
10/30/2020 0:00,1864.29
10/30/2020 0:00,1889.72
11/2/2020 1:00,1873.5
11/2/2020 1:00,1895.97
11/3/2020 1:00,1886.99
11/3/2020 1:00,1910.53
11/4/2020 1:00,1916.02
11/4/2020 1:00,1881.58
11/5/2020 1:00,1901.82
11/5/2020 1:00,1952.7
11/6/2020 1:00,1935.59
11/6/2020 1:00,1960.27
11/9/2020 1:00,1965.49
11/9/2020 1:00,1850.39
11/10/2020 1:00,1860.12
11/10/2020 1:00,1890.3
11/11/2020 1:00,1884.39
11/11/2020 1:00,1856.18
11/12/2020 1:00,1862.66
11/12/2020 1:00,1883.71
11/13/2020 1:00,1873.92
11/13/2020 1:00,1896.75
11/16/2020 1:00,1899
11/16/2020 1:00,1864.33
11/17/2020 1:00,1892.87
11/17/2020 1:00,1876.88
11/18/2020 1:00,1863.6
11/18/2020 1:00,1884.79
11/19/2020 1:00,1873.85
11/19/2020 1:00,1852.52
11/20/2020 1:00,1860.75
11/20/2020 1:00,1879.93
11/23/2020 1:00,1875.99
11/23/2020 1:00,1830.84
11/24/2020 1:00,1838.94
11/24/2020 1:00,1800.15
11/25/2020 1:00,1801.51
11/25/2020 1:00,1817.63
11/26/2020 1:00,1818.16
11/26/2020 1:00,1805.59
11/27/2020 1:00,1813.69
11/27/2020 1:00,1774.26
11/30/2020 1:00,1789.84
