,date,cash_data,vol
2021-10-04 16:30:00,2021-10-04 16:30:00,4338.05,6796.0
2021-10-04 17:00:00,2021-10-04 17:00:00,4348.05,9365.0
2021-10-04 17:30:00,2021-10-04 17:30:00,4286.55,9365.0
2021-10-04 18:00:00,2021-10-04 18:00:00,4304.05,8106.0
2021-10-04 18:30:00,2021-10-04 18:30:00,4279.25,8106.0
2021-10-04 19:00:00,2021-10-04 19:00:00,4301.65,6204.0
2021-10-04 19:30:00,2021-10-04 19:30:00,4282.45,6204.0
2021-10-04 20:00:00,2021-10-04 20:00:00,4280.65,6073.0
2021-10-04 20:30:00,2021-10-04 20:30:00,4298.15,6073.0
2021-10-04 21:00:00,2021-10-04 21:00:00,4288.05,6849.0
2021-10-04 21:30:00,2021-10-04 21:30:00,4301.35,6849.0
2021-10-04 22:00:00,2021-10-04 22:00:00,4307.97,7803.0
2021-10-04 22:30:00,2021-10-04 22:30:00,4289.15,7803.0
2021-10-04 23:00:00,2021-10-04 23:00:00,4307.65,1022.0
2021-10-04 23:30:00,2021-10-04 23:30:00,4301.35,1022.0
2021-10-05 01:00:00,2021-10-05 01:00:00,4304.75,495.0
2021-10-05 01:30:00,2021-10-05 01:30:00,4311.05,495.0
2021-10-05 02:00:00,2021-10-05 02:00:00,4311.15,1276.0
2021-10-05 02:30:00,2021-10-05 02:30:00,4301.55,1276.0
2021-10-05 03:00:00,2021-10-05 03:00:00,4306.75,2709.0
2021-10-05 03:30:00,2021-10-05 03:30:00,4286.85,2709.0
2021-10-05 04:00:00,2021-10-05 04:00:00,4280.65,3491.0
2021-10-05 04:30:00,2021-10-05 04:30:00,4297.55,3491.0
2021-10-05 05:00:00,2021-10-05 05:00:00,4291.65,2767.0
2021-10-05 05:30:00,2021-10-05 05:30:00,4306.85,2767.0
2021-10-05 06:00:00,2021-10-05 06:00:00,4299.05,2565.0
2021-10-05 06:30:00,2021-10-05 06:30:00,4309.45,2565.0
2021-10-05 07:00:00,2021-10-05 07:00:00,4308.92,1784.0
2021-10-05 07:30:00,2021-10-05 07:30:00,4302.15,1784.0
2021-10-05 08:00:00,2021-10-05 08:00:00,4308.55,2484.0
2021-10-05 08:30:00,2021-10-05 08:30:00,4302.35,2484.0
2021-10-05 09:00:00,2021-10-05 09:00:00,4306.15,2566.0
2021-10-05 09:30:00,2021-10-05 09:30:00,4294.75,2566.0
2021-10-05 10:00:00,2021-10-05 10:00:00,4312.92,6005.0
2021-10-05 10:30:00,2021-10-05 10:30:00,4298.45,6005.0
2021-10-05 11:00:00,2021-10-05 11:00:00,4298.15,3485.0
2021-10-05 11:30:00,2021-10-05 11:30:00,4315.05,3485.0
2021-10-05 12:00:00,2021-10-05 12:00:00,4314.35,2450.0
2021-10-05 12:30:00,2021-10-05 12:30:00,4320.95,2450.0
2021-10-05 13:00:00,2021-10-05 13:00:00,4321.05,2443.0
2021-10-05 13:30:00,2021-10-05 13:30:00,4313.85,2443.0
2021-10-05 14:00:00,2021-10-05 14:00:00,4316.15,2295.0
2021-10-05 14:30:00,2021-10-05 14:30:00,4325.65,2295.0
2021-10-05 15:00:00,2021-10-05 15:00:00,4323.27,2057.0
2021-10-05 15:30:00,2021-10-05 15:30:00,4319.05,2057.0
2021-10-05 16:00:00,2021-10-05 16:00:00,4309.85,6585.0
2021-10-05 16:30:00,2021-10-05 16:30:00,4333.05,6585.0
2021-10-05 17:00:00,2021-10-05 17:00:00,4327.45,5777.0
2021-10-05 17:30:00,2021-10-05 17:30:00,4361.05,5777.0
2021-10-05 18:00:00,2021-10-05 18:00:00,4367.85,4260.0
2021-10-05 18:30:00,2021-10-05 18:30:00,4353.85,4260.0
2021-10-05 19:00:00,2021-10-05 19:00:00,4367.75,3933.0
2021-10-05 19:30:00,2021-10-05 19:30:00,4354.75,3933.0
2021-10-05 20:00:00,2021-10-05 20:00:00,4356.95,2800.0
2021-10-05 20:30:00,2021-10-05 20:30:00,4368.72,2800.0
2021-10-05 21:00:00,2021-10-05 21:00:00,4362.55,2681.0
2021-10-05 21:30:00,2021-10-05 21:30:00,4370.65,2681.0
2021-10-05 22:00:00,2021-10-05 22:00:00,4369.15,4149.0
2021-10-05 22:30:00,2021-10-05 22:30:00,4343.95,4149.0
2021-10-05 23:00:00,2021-10-05 23:00:00,4348.65,739.0
2021-10-05 23:30:00,2021-10-05 23:30:00,4342.17,739.0
2021-10-06 01:00:00,2021-10-06 01:00:00,4345.15,383.0
2021-10-06 01:30:00,2021-10-06 01:30:00,4350.45,383.0
2021-10-06 02:00:00,2021-10-06 02:00:00,4349.62,890.0
2021-10-06 02:30:00,2021-10-06 02:30:00,4338.15,890.0
2021-10-06 03:00:00,2021-10-06 03:00:00,4338.25,1682.0
2021-10-06 03:30:00,2021-10-06 03:30:00,4348.95,1682.0
2021-10-06 04:00:00,2021-10-06 04:00:00,4346.95,3642.0
2021-10-06 04:30:00,2021-10-06 04:30:00,4318.65,3642.0
2021-10-06 05:00:00,2021-10-06 05:00:00,4328.85,2955.0
2021-10-06 05:30:00,2021-10-06 05:30:00,4318.45,2955.0
2021-10-06 06:00:00,2021-10-06 06:00:00,4320.05,2427.0
2021-10-06 06:30:00,2021-10-06 06:30:00,4329.77,2427.0
2021-10-06 07:00:00,2021-10-06 07:00:00,4329.35,1757.0
2021-10-06 07:30:00,2021-10-06 07:30:00,4318.15,1757.0
2021-10-06 08:00:00,2021-10-06 08:00:00,4322.25,2559.0
2021-10-06 08:30:00,2021-10-06 08:30:00,4331.65,2559.0
