,date,cash_data,vol,dif,ret1,ret2,ret3
10/21/2021 1:30,10/21/2021 1:30,1.16526,532,0.00054,-5.398516819,-0.720003078,-0.853373614
10/21/2021 2:00,10/21/2021 2:00,1.16508,359,-0.00018,0.333281833,-1.799227583,3.599289236
10/21/2021 2:30,10/21/2021 2:30,1.16559,359,0.00051,2.832932201,0.944164838,0.610883004
10/21/2021 3:00,10/21/2021 3:00,1.16504,1468,-0.00055,1.078449884,3.055175404,0.222243203
10/21/2021 3:30,10/21/2021 3:30,1.16575,1468,0.00071,1.290820491,1.392085209,0.313635325
10/21/2021 4:00,10/21/2021 4:00,1.16541,2088,-0.00034,0.478797222,0.618041265,-0.672779226
10/21/2021 4:30,10/21/2021 4:30,1.16625,2088,0.00084,2.470058533,1.182657163,0.703859941
10/21/2021 5:00,10/21/2021 5:00,1.16599,1402,-0.00026,0.309446823,0.764351765,-1.705706768
10/21/2021 5:30,10/21/2021 5:30,1.16655,1402,0.00056,2.153569169,0.666415137,0.356968314
10/21/2021 6:00,10/21/2021 6:00,1.16667,907,0.00012,-0.214223258,-0.461344604,-2.614913774
10/21/2021 6:30,10/21/2021 6:30,1.16617,907,-0.0005,4.167345442,-0.892742319,-0.678519061
10/21/2021 7:00,10/21/2021 7:00,1.16644,2572,0.00027,0.540053239,2.250588405,-1.916757037
10/21/2021 7:30,10/21/2021 7:30,1.16498,2572,-0.00146,5.410168131,2.921778824,2.381725585
10/21/2021 8:00,10/21/2021 8:00,1.16528,2623,0.0003,0.205581714,1.112231636,-4.297936496
10/21/2021 8:30,10/21/2021 8:30,1.16475,2623,-0.00053,1.766841077,0.363230216,0.157648503
10/21/2021 9:00,10/21/2021 9:00,1.16563,3806,0.00088,1.660128037,2.933182408,1.166341331
10/21/2021 9:30,10/21/2021 9:30,1.16448,3806,-0.00115,1.306969653,2.169736963,0.509608927
10/21/2021 10:00,10/21/2021 10:00,1.16466,4147,0.00018,0.156586912,0.204654342,-1.10231531
10/21/2021 10:30,10/21/2021 10:30,1.16355,4147,-0.00111,6.169130388,0.966005078,0.809418166
10/21/2021 11:00,10/21/2021 11:00,1.16333,3595,-0.00022,-0.19831147,-1.223409316,-7.392539704
10/21/2021 11:30,10/21/2021 11:30,1.16429,3595,0.00096,4.362249305,-0.865084072,-0.666772602
10/21/2021 12:00,10/21/2021 12:00,1.16372,2815,-0.00057,0.59365051,2.589651526,-1.772597779
10/21/2021 12:30,10/21/2021 12:30,1.16443,2815,0.00071,1.245539146,0.739414949,0.145764439
10/21/2021 13:00,10/21/2021 13:00,1.16421,2722,-0.00022,0.309793945,0.385860485,-0.85967866
10/21/2021 13:30,10/21/2021 13:30,1.16356,2722,-0.00065,-2.955649779,-0.915642404,-1.225436349
10/21/2021 14:00,10/21/2021 14:00,1.16381,3658,0.00025,0.384681479,-1.136983729,1.81866605
10/21/2021 14:30,10/21/2021 14:30,1.16448,3658,0.00067,-2.678941089,-1.030539021,-1.4152205
10/21/2021 15:00,10/21/2021 15:00,1.16305,5691,-0.00143,2.135025482,-5.719607491,-3.040666402
10/21/2021 15:30,10/21/2021 15:30,1.16506,5691,0.00201,1.405244403,3.00023261,0.865207128
10/21/2021 16:00,10/21/2021 16:00,1.16397,5579,-0.00109,0.54207425,0.761746807,-0.643497597
10/21/2021 16:30,10/21/2021 16:30,1.16478,5579,0.00081,0.743208592,0.40287424,-0.13920001
10/21/2021 17:00,10/21/2021 17:00,1.16347,5649,-0.00131,1.617631374,1.202237535,0.459028943
10/21/2021 17:30,10/21/2021 17:30,1.16511,5649,0.00164,1.251731055,2.024839426,0.407208052
10/21/2021 18:00,10/21/2021 18:00,1.1646,3711,-0.00051,0.310824728,0.389068965,-0.86266209
10/21/2021 18:30,10/21/2021 18:30,1.16371,3711,-0.00089,-1.746147414,-0.542745795,-0.853570523
10/21/2021 19:00,10/21/2021 19:00,1.16429,2200,0.00058,0.651772154,-1.138090262,0.608057152
10/21/2021 19:30,10/21/2021 19:30,1.16333,2200,-0.00096,1.655442692,1.07897145,0.427199295
10/21/2021 20:00,10/21/2021 20:00,1.16391,2480,0.00058,0.604265295,1.000326567,-0.655116125
10/21/2021 20:30,10/21/2021 20:30,1.16255,2480,-0.00136,2.345613963,1.417373114,0.813107819
10/21/2021 21:00,10/21/2021 21:00,1.16272,2099,0.00017,0.125063957,0.293351764,-2.052262199
10/21/2021 21:30,10/21/2021 21:30,1.16213,2099,-0.00059,3.471215289,0.43412392,0.309059963
10/21/2021 22:00,10/21/2021 22:00,1.16247,1939,0.00034,0.576333153,2.000576454,-1.470638835
10/21/2021 22:30,10/21/2021 22:30,1.16197,1939,-0.0005,1.470689474,0.847607102,0.271273949
10/21/2021 23:00,10/21/2021 23:00,1.16188,1257,-9E-05,-0.180045697,-0.264791312,-1.735480785
10/21/2021 23:30,10/21/2021 23:30,1.16243,1257,0.00055,6.109901783,-1.100061527,-0.92001583
10/22/2021 0:00,10/22/2021 0:00,1.16205,183,-0.00038,0.690858555,4.221077916,-1.888823867
10/22/2021 0:30,10/22/2021 0:30,1.16245,183,0.0004,1.052622523,0.727213275,0.03635472
10/22/2021 1:00,10/22/2021 1:00,1.16226,668,-0.00019,0.474957088,0.499950528,-0.552671995
10/22/2021 1:30,10/22/2021 1:30,1.16246,668,0.0002,1.052627051,0.499952679,0.024995591
10/22/2021 2:00,10/22/2021 2:00,1.16221,564,-0.00025,1.250026887,1.315812116,0.263185065
